timestamps,TP9,AF7,AF8,TP10,Right AUX
1700264826.542,-443.848,-99.609,-536.133,143.555,0.000
1700264826.546,-866.211,-104.980,-618.164,-842.285,0.000
1700264826.550,551.270,-43.945,-387.207,-147.949,0.000
1700264826.554,999.512,-30.762,-298.828,855.957,0.000
1700264826.557,-131.836,-85.938,-452.637,490.234,0.000
1700264826.561,-1000.000,-128.906,-601.562,-657.227,0.000
1700264826.565,48.340,-73.730,-491.211,-357.910,0.000
1700264826.569,999.512,-65.918,-459.473,787.598,0.000
1700264826.573,248.047,-109.863,-524.414,837.402,0.000
1700264826.577,-1000.000,-138.184,-601.074,-354.004,0.000
1700264826.581,-305.176,-100.098,-534.668,-594.238,0.000
1700264826.585,999.512,-65.430,-436.035,557.617,0.000
1700264826.589,604.004,-71.289,-346.680,995.117,0.000
1700264826.593,-872.559,-100.098,-420.898,-50.293,0.000
1700264826.597,-615.234,-107.422,-549.316,-716.309,0.000
1700264826.601,857.422,-49.805,-351.562,199.219,0.000
1700264826.604,923.340,-37.109,-200.195,964.355,0.000
1700264826.608,-400.879,-93.262,-372.070,303.711,0.000
1700264826.612,-948.242,-149.902,-616.211,-695.312,0.000
1700264826.616,425.781,-114.746,-510.254,-82.520,0.000
1700264826.620,999.512,-58.105,-284.668,883.789,0.000
1700264826.624,-83.496,-77.148,-288.086,559.082,0.000
1700264826.628,-1000.000,-158.691,-603.027,-574.219,0.000
1700264826.632,-49.316,-143.066,-603.027,-372.070,0.000
1700264826.636,999.512,-45.410,-240.723,684.570,0.000
1700264826.639,312.012,-40.527,-186.035,789.062,0.000
1700264826.644,-1000.000,-151.367,-612.305,-260.742,0.000
1700264826.647,-389.160,-134.766,-618.164,-596.680,0.000
1700264826.651,999.512,-29.785,-166.992,403.809,0.000
1700264826.655,714.355,-45.898,-29.297,945.801,0.000
1700264826.659,-699.707,-131.348,-378.906,92.773,0.000
1700264826.663,-666.016,-144.531,-614.258,-687.012,0.000
1700264826.667,733.887,-57.617,-353.027,90.820,0.000
1700264826.671,999.512,-18.555,-208.984,937.500,0.000
1700264826.675,-247.070,-114.258,-554.199,443.359,0.000
1700264826.679,-1000.000,-162.109,-722.656,-628.418,0.000
1700264826.682,247.559,-29.785,-325.684,-234.863,0.000
1700264826.686,999.512,24.902,-25.391,828.613,0.000
1700264826.690,90.332,-24.414,-105.957,683.105,0.000
1700264826.694,-1000.000,-84.961,-492.188,-467.773,0.000
1700264826.698,-148.926,-48.340,-393.555,-445.801,0.000
1700264826.702,999.512,-22.949,-232.422,686.035,0.000
1700264826.706,487.793,-48.828,-283.203,916.016,0.000
